eligibility_rule_item_id,eligibility_rule_set_id,ordinal,scope_type,include_or_exclude,category_code,category_name_raw,major_code,major_name_raw,condition_raw
ELIGITEM-6ef77f63-3a26-508b-b57d-3db2755f4732,ELIGSET-774adf1f-645a-54b1-83a6-5b79f3aa3ad5,1,major_category,include,,资源环境与安全大类,,,
ELIGITEM-21a5930d-cb51-53a7-a2f5-fdbbba6fb647,ELIGSET-774adf1f-645a-54b1-83a6-5b79f3aa3ad5,2,major_category,include,,电子与信息大类,,,
ELIGITEM-21fa9170-9b67-5af3-bf71-54495db8257f,ELIGSET-774adf1f-645a-54b1-83a6-5b79f3aa3ad5,3,major_category,include,,装备制造大类,,,
ELIGITEM-021966f5-d0da-5bcb-9687-f2f33cde74db,ELIGSET-774adf1f-645a-54b1-83a6-5b79f3aa3ad5,4,major_category,include,,生物与化工大类,,,
ELIGITEM-7b1d0c66-e7a4-51fc-8be7-c5ad7e55212d,ELIGSET-774adf1f-645a-54b1-83a6-5b79f3aa3ad5,5,major_category,include,,医药卫生大类,,,
ELIGITEM-2b552be2-bcb2-5c34-aa73-ec80d4f0d78a,ELIGSET-774adf1f-645a-54b1-83a6-5b79f3aa3ad5,6,major_category,include,,交通运输大类,,,
ELIGITEM-a720b8b1-64df-58b2-bef0-8e4013ea3ee3,ELIGSET-774adf1f-645a-54b1-83a6-5b79f3aa3ad5,7,major_category,include,,能源动力与材料大类,,,
ELIGITEM-80654164-0e16-5aac-bdae-94152290e49d,ELIGSET-7791fc0c-5b97-54e1-81d9-d84e7b99f948,1,major_category,include,,教育与体育大类,,,
ELIGITEM-a6e0bcbb-ab06-5210-916c-83246ec04fe6,ELIGSET-7de84a07-c7b9-5d1e-9bdd-d197bafa3eca,1,major_category,include,,教育与体育大类,,,
ELIGITEM-e1d20013-67d1-543b-9dcd-d2533d2f9f5d,ELIGSET-838d03ea-7fe8-5f5b-8c33-bfa8d3a3e56b,1,major_category,include,,食品药品与粮食大类,,,
ELIGITEM-4c09d2d9-6c13-57b0-8dc7-2c85297ec2e9,ELIGSET-838d03ea-7fe8-5f5b-8c33-bfa8d3a3e56b,2,major_category,include,,生物与化工大类,,,
ELIGITEM-1798fdad-5076-5959-a240-1755edc2b8b6,ELIGSET-838d03ea-7fe8-5f5b-8c33-bfa8d3a3e56b,3,major_category,include,,医药卫生大类,,,
ELIGITEM-fd3729e5-f6e4-58e5-9e79-96c1e3a4d049,ELIGSET-83b0f919-053d-5c43-b8e5-4d24ac6192f1,1,major_category,include,,资源环境与安全大类,,,
ELIGITEM-60966039-e174-516c-a22e-867690d154e0,ELIGSET-83b0f919-053d-5c43-b8e5-4d24ac6192f1,2,major_category,include,,电子与信息大类,,,
